id,pregunta,itc,opcion_1,opcion_2,opcion_3,respuesta_correcta
411,"La intensidad de defecto, umbral de desconexión de los interruptores diferenciales para las instalaciones de alumbrado exterior, será como máximo. (ITC-BT 09)",,"500 mA si la resistencia de puesta a tierra medida en la puesta en servicio de la instalación es como máximo de 5 Ω.","300 mA si la resistencia de puesta a tierra medida en la puesta en servicio de la instalación es como máximo de 300 Ω.","1 A si la resistencia de puesta a tierra medida en la puesta en servicio de la instalación es como máximo de 5 Ω.","500 mA si la resistencia de puesta a tierra medida en la puesta en servicio de la instalación es como máximo de 5 Ω."
412,"¿Qué es una canalización amovible? (ITC-BT 01)",,"La que puede ser quitada fácilmente.","La que no puede ser quitada fácilmente.","La que puede ser desplazada cuando está sin tensión.","La que puede ser quitada fácilmente."
413,"¿Qué categoría ha de tener un instalador para poder efectuar la instalación de un sistema de automatización de un edificio de pública concurrencia? (ITC-BT 03)",,"Especialista.","Básica.","Puede hacerla un instalador con categoría básica con autorización especial.","Especialista."
414,"¿Cómo se pueden realizar las canalizaciones bajo canales aislantes en un local húmedo? (ITC-BT 30)",,"Se instalarán en superficie y las conexiones, empalmes y derivaciones se realizarán en el interior de cajas.","Se instalarán en superficie y las conexiones, empalmes y derivaciones se podrán realizar en el interior de la canal.","Se instalarán empotradas y las conexiones, empalmes y derivaciones se realizarán en el interior de cajas.","Se instalarán en superficie y las conexiones, empalmes y derivaciones se realizarán en el interior de cajas."
415,"¿Cómo se instalarán los reóstatos de arranque y regulación de velocidad de un motor? (ITC-BT 47)",,"Deberán estar separados de la instalación por interruptores generales de corte unipolar.","Deberán estar provistos de un aislamiento de clase II.","Deberán estar separados de los muros 5 cm como mínimo.","Deberán estar separados de los muros 5 cm como mínimo."
416,"¿Qué dispositivo se admite para la protección contra cortocircuitos? (ITC-BT 22)",,"Interruptor diferencial.","Interruptor automático con corte omnipolar.","Las dos son correctas.","Interruptor automático con corte omnipolar."
417,"En una instalación interior, ¿a qué distancia mínima se mantendrán una canalización eléctrica de otra no eléctrica? (ITC-BT 20)",,"5 cm.","3 cm.","4 cm.","3 cm."
418,"Indíquese cuál de las siguientes respuestas es verdadera: (ITC-BT 18)",,"La toma de tierra no deberá establecerse por motivos funcionales.","Cuando la toma de tierra sea necesaria a la vez por razones de protección y funcionales, prevalecerán las razones funcionales.","Cuando la toma de tierra sea necesaria a la vez por razones de protección y funcionales, prevalecerán las razones de protección.","Cuando la toma de tierra sea necesaria a la vez por razones de protección y funcionales, prevalecerán las razones de protección."
419,"Los materiales utilizados para la realización de la toma de tierra deberán: (ITC-BT 18)",,"Ser siempre de cobre.","Ser siempre de aluminio.","No afectar la resistencia mecánica y eléctrica por efecto de la corrosión.","No afectar la resistencia mecánica y eléctrica por efecto de la corrosión."
420,"Las prescripciones particulares contempladas en la ITC-BT 33 se aplican a: (ITC-BT 33)",,"Trabajos de construcción, reparación, modificación, extensión o demolición de edificios nuevos o existentes.","Trabajos públicos, de excavación u otros similares.","Las dos respuestas anteriores son correctas.","Las dos respuestas anteriores son correctas."
421,"¿Cuál es la potencia mínima a considerar para un edificio de oficinas con una superficie total de 12.000 m² repartidos en dos plantas en el que hay 400 oficinas de 25 m²? (ITC-BT 10)",,"1.200 kW.","1.380.000 W.","2.400.000 W.","1.380.000 W."
422,"Indíquese la sección mínima del conductor de tierra de cobre de un edificio destinado principalmente a viviendas si está protegido contra la corrosión y protegido mecánicamente, siendo la sección del conductor de fase de 16 mm²: (ITC-BT 18)",,"16 mm².","10 mm².","Ninguna de las anteriores.","16 mm²."
423,"¿Qué grado de electrificación mínimo tendrá una vivienda con 180 m²? (ITC-BT 10)",,"Grado de electrificación básico.","Grado de electrificación elevado.","Grado de electrificación básico si tiene además calefacción eléctrica.","Grado de electrificación elevado."
424,"¿Cuál será la sección mínima del conductor de puesta a tierra de la cuba de un calentador de agua si ésta forma parte del circuito eléctrico? (ITC-BT 45 3.1.1)",,"6 mm².","4 mm².","2,5 mm².","4 mm²."
425,"En la instalación de un local polvoriento sin riesgo de incendio o explosión, ¿qué grado de protección mínimo tendrán las canalizaciones? (ITC-BT 30)",,"IP 5X.","IP X5.","IP X4.","IP 5X."
426,"¿Cuál es la distancia mínima que deben guardar los cables subterráneos de distribución de baja tensión si se cruzan con otros de baja tensión? (ITC-BT 07 2.2.1)",,"0,15 m.","0,25 m.","0,10 m.","0,10 m."
427,"Indíquese el porcentaje respecto de la potencia total contratada para el suministro normal que corresponde al suministro duplicado. (Artic. 10.1.B.c REBT)",,"Mayor del 50%.","100%.","50%.","Mayor del 50%."
428,"Las bañeras y duchas metálicas pueden considerarse aisladas del edificio cuando la resistencia de aislamiento es como mínimo de: (ITC-BT 27)",,"100 kΩ.","120 kΩ.","150 kΩ.","100 kΩ."
429,"¿Qué grado de electrificación mínimo tendrá una vivienda con 180 m²? (ITC-BT 10)",,"Grado de electrificación básico.","Grado de electrificación elevado.","Grado de electrificación básico si tiene además calefacción eléctrica.","Grado de electrificación elevado."
430,"Indicar la resistencia de aislamiento que tendrán como mínimo las instalaciones con tensiones superiores a 500 V. (ITC-BT 19)",,"0,25 MΩ.","500 kΩ.","1 MΩ.","1 MΩ."
431,"Para la protección contra contactos indirectos y contra sobreintensidades se emplea un esquema de distribución que tiene el neutro de la alimentación conectado directamente a tierra y las masas de la instalación receptora están conectadas a una toma de tierra separada de la toma de tierra de la alimentación. Dicho esquema: (ITC-BT 08)",,"Debe emplearse siempre en instalaciones alimentadas en baja tensión a partir de un centro de transformación de abonado.","No debe emplearse nunca en instalaciones receptoras alimentadas directamente de una red de distribución pública de baja tensión.","Es el esquema que se emplea en instalaciones receptoras alimentadas directamente desde la red de distribución pública.","Es el esquema que se emplea en instalaciones receptoras alimentadas directamente desde la red de distribución pública."
432,"Indíquese la clasificación que obtendrá la instalación de una vivienda que tenga un valor elevado de resistencia de tierra en relación con las protecciones adoptadas. (ITC-BT 05)",,"Defecto crítico.","Defecto grave.","Defecto muy grave.","Defecto grave."
433,"¿Cómo se denomina al circuito adicional de distribución interna destinado a proteger las tomas de corriente de los cuartos de baño, así como las bases auxiliares del cuarto de cocina de una vivienda de grado de electrificación elevado? (ITC-BT 25)",,"C5.","C11.","C12.","C12."
434,"Indíquese la sección mínima del conductor de tierra de cobre de un edificio destinado principalmente a viviendas si está protegido contra la corrosión y protegido mecánicamente, siendo la sección del conductor de fase de 16 mm²: (ITC-BT 18)",,"16 mm².","10 mm².","Ninguna de las anteriores.","16 mm²."
435,"¿Cuál es la potencia mínima a considerar para un edificio de oficinas con una superficie total de 12.000 m² repartidos en dos plantas en el que hay 400 oficinas de 25 m²? (ITC-BT 10)",,"1.200 kW.","1.380.000 W.","2.400.000 W.","1.380.000 W."
436,"¿Qué intensidad máxima admitirán tres cables unipolares de cobre de 50 mm² con aislamiento de PVC hasta 0,6/1 kV, instalados en bandeja perforada en capa única horizontal y a la temperatura ambiente de 20 ºC? (UNE 20.460-5-523)",,"194,88 A.","167 A.","187,04 A.","187,04 A."
437,"¿De qué depende la carga máxima que hay que prever por vivienda? (ITC-BT 10)",,"Del número de habitaciones de la vivienda.","Del grado de utilización que se desee alcanzar.","Ninguna de las anteriores respuestas es correcta.","Del grado de utilización que se desee alcanzar."
438,"¿Qué sección mínima tendrá el conductor suplementario de equipotencialidad que une una masa a un elemento conductor? (ITC-BT 18)",,"No será superior a la mitad de la sección del conductor de protección unido a esta masa.","No será inferior a la mitad de la sección del conductor de protección unido a esta masa.","6 mm².","No será inferior a la mitad de la sección del conductor de protección unido a esta masa."
439,"Cuando se instale más de un interruptor diferencial en serie: (ITC-BT 17)",,"Tendrán la misma intensidad diferencial residual.","No pueden instalarse dos diferenciales en serie.","Existirá una selectividad entre ellos.","Existirá una selectividad entre ellos."
440,"Indíquese la intensidad máxima admisible para un cable de cobre, tetrapolar, de 70 mm² con aislamiento de XLPE de tensión asignada de 0,6/1 kV, de sección nominal, instalado bajo tubo de acero en montaje superficial, a la temperatura de 20 ºC. (UNE 20.460-5-523 (fc=1,08))",,"194 A.","184,68 A.","Ninguna de las anteriores.","Ninguna de las anteriores."
441,"¿Cuál es la potencia máxima de un generador eólico con respecto a la potencia de cortocircuito en el punto de interconexión con la red de distribución pública? (ITC-BT 40)",,"5%.","3%.","2%.","5%."
442,"¿Quién es el encargado de emitir el certificado de instalación eléctrica? (REBT Art.18)",,"El director de obra.","El instalador autorizado que ejecuto la instalación.","El organismo de control.","El instalador autorizado que ejecuto la instalación."
443,"La conexión equipotencial local suplementaria del cuarto de baño de una vivienda unirá el conductor de protección de los equipos de clase I (incluidas las tomas de corriente) que estén situados en los volúmenes 0, 1, 2 y 3 con: (ITC-BT 27)",,"Las canalizaciones metálicas de agua, gas, calefacción centralizada, sistemas de aire acondicionado y otras partes conductoras externas susceptibles de transferir tensiones.","Las partes metálicas accesibles de la estructura del edificio.","Las dos respuestas anteriores son correctas.","Las dos respuestas anteriores son correctas."
444,"En el caso de edificios destinados principalmente a viviendas, ¿por donde deben discurrir las derivaciones individuales? (ITC-BT 15)",,"Sólo pueden ir por lugares de uso común.","Por lugares de uso común o en caso contrario quedar determinadas sus servidumbres correspondientes.","Ninguna de las anteriores respuestas es correcta.","Por lugares de uso común o en caso contrario quedar determinadas sus servidumbres correspondientes."
445,"Indíquese la distancia desde la pared donde se instale la concentración de contadores hasta el primer obstáculo que tenga enfrente. (ITC-BT 16)",,"2,30 m.","1,50 m.","1,10 m.","1,10 m."
446,"Para la protección contra contactos indirectos por corte automático de la alimentación en un esquema TN-C pueden utilizarse los dispositivos de protección siguientes: (ITC-BT 24)",,"Fusibles o interruptores automáticos.","Dispositivos de protección de corriente diferencial-residual.","Las dos respuestas anteriores son correctas.","Fusibles o interruptores automáticos."
447,"¿Qué grado de protección mínimo deberán tener los equipos eléctricos de una fuente? (ITC-BT 31)",,"IP X8 en el volumen 0.","IP X5 en el volumen 1.","Las dos respuestas anteriores son correctas.","Las dos respuestas anteriores son correctas."
